transaction_id,timestamp,amount,category,location,merchant_id,client_id,prediction_score,is_alerted,model_version
df07e0f4c23438cfa98e38a9f35f52b7_1774286349,2026-03-23 17:19:09.957678,1.5,shopping_net,"Thomas, WV","fraud_Stanton, Jakubowski and Baumbach",630424987505,,,
9336751a6476a386f34d800236ffadc7_1774286348,2026-03-23 17:19:08.937889,38.07,personal_care,"Eldridge, AL",fraud_Wilkinson LLC,4067137330196900,,,
b04e440c0c0f2fb1e59fdf68ebcfa050_1774286347,2026-03-23 17:19:07.707514,18.39,food_dining,"Princeton, IA",fraud_Abernathy and Sons,4423489490781412,,,
b114679741fb68fd8afcbd772794e329_1774286346,2026-03-23 17:19:06.826943,97.32,kids_pets,"Randolph, OH",fraud_Bode-Schuster,2248348993063230,,,
56f7f1ccfddef4139e4588ee448a3f1d_1774286345,2026-03-23 17:19:05.710398,6.94,misc_pos,"Glade Spring, VA",fraud_Schmeler Inc,4653178848915023204,,,
31f422dbb639ebf50b363b0835002677_1774286290,2026-03-23 17:18:10.266177,74.57,gas_transport,"Great Mills, MD",fraud_Kuvalis Ltd,4292743669224718067,,,
19454c851b4c8c5f96b9f7b12ace7b19_1774286288,2026-03-23 17:18:08.934777,22.06,entertainment,"Veedersburg, IN",fraud_Cummerata-Hilpert,4306586894261180,,,
169fd965e8d5400fb44790b74a33aa02_1774286287,2026-03-23 17:18:07.804059,20.93,home,"Mansfield, OH",fraud_Collier LLC,4550599031376731,,,
86fb15198225248d19f88f37bfc19167_1774286286,2026-03-23 17:18:06.487765,135.17,entertainment,"Rock Springs, WY",fraud_Upton PLC,213157767990030,,,
f14e5ae47d8152172363709788ef0b6b_1774286285,2026-03-23 17:18:05.519213,55.4,gas_transport,"West Palm Beach, FL","fraud_Olson, Becker and Koch",676245600876,,,
7610b88d9f9d6a0af0cd0826cd48fb6d_1774286229,2026-03-23 17:17:09.664374,119.27,grocery_pos,"Harrodsburg, IN",fraud_Pacocha-O'Reilly,4839615922685395,,,
64e96f905c9ce8a52227cc0e6cae5734_1774286228,2026-03-23 17:17:08.487937,3.74,personal_care,"University, MS",fraud_Dickinson Ltd,3575540972310993,,,
4d928332bb414f05736dd16d9ffb00aa_1774286227,2026-03-23 17:17:07.671370,40.37,misc_pos,"Littleton, CO",fraud_Bruen-Yost,6011893664860915,,,
5a5a8db2cf7f2d86fa35114a841092b5_1774286226,2026-03-23 17:17:06.786387,20.87,food_dining,"Tallmansville, WV",fraud_Weber and Sons,375248307838179,,,
0a1a2f44417682c0dd2ab062c7d02aaf_1774286225,2026-03-23 17:17:05.484717,8.46,misc_pos,"Ratcliff, TX",fraud_Gislason Group,4128730454058057622,,,
487421f42f4215633ca44c49691d3783_1774286170,2026-03-23 17:16:10.762614,2.58,shopping_net,"Ironton, OH",fraud_Ankunding LLC,4806443445305,,,
2a960edcf4fae44ced34c94615ab3f34_1774286169,2026-03-23 17:16:09.949080,94.95,grocery_pos,"Beasley, TX",fraud_Barton Inc,373043435942726,,,
52886aedfa904dc9ccec98e5b7d17caf_1774286168,2026-03-23 17:16:08.946025,77.63,entertainment,"Grand Junction, TN",fraud_Johns-Hoeger,3587044315915002,,,
4a01dadb2195184ec5982059a74e6cc4_1774286167,2026-03-23 17:16:07.695838,4.24,misc_pos,"Carlisle, IN",fraud_Howe Ltd,3565423334076143,,,
95711be7c44f8162dcbccb8faebef6d4_1774286166,2026-03-23 17:16:06.735578,17.58,health_fitness,"Oolitic, IN",fraud_Roob-Okuneva,4797297220948468262,,,
d170a1ccfc56b31efde179584085b18e_1774286111,2026-03-23 17:15:11.740943,56.7,home,"Garrattsville, NY",fraud_Champlin and Sons,502012776709,,,
c3e07ad3f942b93c263d406b74079c65_1774286110,2026-03-23 17:15:10.140246,14.15,food_dining,"Prairie Hill, TX",fraud_Kuphal-Toy,3546897637165774,,,
a9023afb2fc0859615f6f5a8b56cbbe8_1774286108,2026-03-23 17:15:08.684758,80.57,gas_transport,"Marienville, PA","fraud_Robel, Cummerata and Prosacco",30343344410970,,,
60398fe7897cd8916bf89a2ea81d347a_1774286107,2026-03-23 17:15:07.596962,31.07,grocery_pos,"Keller, TX",fraud_Strosin-Cruickshank,4102003771126577611,,,
f9154c2cb1df2e3bb2b5708138e6b88e_1774286106,2026-03-23 17:15:06.010625,80.44,grocery_pos,"Redford, MO",fraud_Bauch-Raynor,377026671291680,,,
337d08a36ec46a39d90fcf8aa54d8fd7_1774286050,2026-03-23 17:14:10.446898,27.45,grocery_net,"Philadelphia, PA",fraud_Hintz-Bruen,3583635130604947,,,
17cc2519b3419f6c408f2cadc62138d1_1774286049,2026-03-23 17:14:09.426573,74.46,gas_transport,"Moriarty, NM",fraud_Marks Inc,4561546772499,,,
c2aca718751459c65367c73f53a61e21_1774286048,2026-03-23 17:14:08.486384,3.07,travel,"Stillwater, OK",fraud_Kessler Group,3554849923339851,,,
6f91fae4180cd4a9773e007ee71bd019_1774286047,2026-03-23 17:14:07.287616,5.06,entertainment,"Centerview, MO","fraud_Schaefer, Fay and Hilll",3575789281659026,,,
103d40b6b6a7c64071aaeac92caacf36_1774286045,2026-03-23 17:14:05.897435,65.25,health_fitness,"Ruth, NV",fraud_Fadel-Hilpert,6511349151405438,,,
72b6326be35e804576fafbcf9bc7c6ed_1774285992,2026-03-23 17:13:12.247377,65.02,entertainment,"Lithopolis, OH",fraud_Goldner-Lemke,3557442674264531,,,
a8315ea374188a13239bb0be227749c9_1774285991,2026-03-23 17:13:11.314721,84.68,gas_transport,"Tekoa, WA",fraud_Cummerata-Jones,3500969075198072,,,
4e51b9c9c774d5d853aaff915c62249c_1774285989,2026-03-23 17:13:09.865405,72.87,entertainment,"Browning, MO",fraud_Thiel-Thiel,30328384440870,,,
e7e96ff065e38d4c968ec7bb2400114b_1774285988,2026-03-23 17:13:08.017693,9.47,misc_pos,"Altair, TX","fraud_Yost, Block and Koepp",676195318214,,,
683f66ca493fe24a026d1e82be231285_1774285986,2026-03-23 17:13:06.750727,71.71,gas_transport,"San Antonio, TX",fraud_Berge LLC,503874407318,,,
b3259d9152042831cb9f47eaefdd387a_1774285933,2026-03-23 17:12:13.210365,3.43,misc_net,"Elberta, MI",fraud_Kunde-Sanford,571365235126,,,
70e6de972c9538aa05f2e48c764aead3_1774285931,2026-03-23 17:12:11.771521,102.53,food_dining,"Philadelphia, PA",fraud_Weber and Sons,6592074504369261,,,
c23d395e748f38187b6496550b013249_1774285930,2026-03-23 17:12:10.819663,107.76,home,"Westport, KY",fraud_Ernser-Feest,2242542703101233,,,
fa2f01f8261df30c080db395bb91f561_1774285929,2026-03-23 17:12:09.636129,17.89,personal_care,"Ruckersville, VA","fraud_Nienow, Barrows and Romaguera",4099707841315751,,,
e38c1f0f87f8c3beb314d06fd207d4bd_1774285928,2026-03-23 17:12:08.069449,10.12,home,"Mountain Park, OK",fraud_Botsford and Sons,4155021259183870,,,
f242bed900f730a93a74685ffe841f10_1774285870,2026-03-23 17:11:10.499542,109.87,entertainment,"Sachse, TX",fraud_Abshire PLC,4755696071492,,,
86c5e59d4e53bd99e390b206fb1422f1_1774285869,2026-03-23 17:11:09.412312,37.47,kids_pets,"Lubbock, TX","fraud_Romaguera, Wehner and Tromp",371284424780634,,,
bd2d9b058b79abe18b5dfd2dc03f1ae3_1774285868,2026-03-23 17:11:08.456761,19.62,food_dining,"Paint Rock, AL","fraud_Graham, Hegmann and Hammes",30150717898388,,,
528604db32dc1eaa485d7ea8c0a414fc_1774285867,2026-03-23 17:11:07.572290,217.02,grocery_pos,"Kilgore, TX",fraud_Vandervort-Funk,4089096483689733451,,,
31842d180d3453a5a8e85f33a835c507_1774285866,2026-03-23 17:11:06.352580,2.45,food_dining,"Bowdoin, ME","fraud_McCullough, Hudson and Schuster",2720433095629877,,,
df57e79b199842c2b422d2cbd5d47960_1774285832,2026-03-23 17:10:32.212428,3.68,shopping_pos,"Stanchfield, MN",fraud_Metz-Boehm,6011693194885790,,,
